,guangzhou,shanghai,beijing,shenzhen,nanjing,hangzhou,chengdu,chongqing,qingdao,xiamen,zhengzhou,wuhan,jinan
1-BM,6.612,2.839,0,0,6.24,0,0,3.15,0.924,0,5.04,1.47,5.04
10-LE,9.88,0,0.835,1.014,0,2.875,1.908,2.1,0.924,4.095,1.89,0,6.72
11-LS,3.268,0,0,1.014,2.112,4.324,1.908,1.05,1.876,4.095,3.15,1.47,1.12
12-LT,2.204,0,0,1.014,2.112,1.449,1.908,0,0,2.745,1.26,0,0
13-MR,0,0,0,1.014,8.352,0,0,0,0.924,1.35,1.26,0,1.12
14-MT,3.268,4.25,0,3.081,0,0,0,2.1,2.8,1.35,6.3,2.73,2.8
15-PM,4.408,1.411,0,2.067,2.112,0,0,0,3.724,1.35,1.89,2.73,1.12
16-SD,2.204,0,0,0,0,0,0,0,0.924,2.745,1.89,0,2.8
17-TT,5.472,0,0.835,2.067,12.48,2.875,9.468,3.15,1.876,2.745,7.56,2.73,5.04
18-TW,3.268,0,0,3.081,6.24,0,0,1.05,1.876,1.35,0,0,0
19-OC,1.064,0,0,0,10.464,0,1.908,0,0.924,0,1.26,0,1.12
2-CA,3.268,2.839,0,3.081,8.352,1.449,0,1.05,1.876,4.095,4.41,0,3.92
3-CI,2.204,0,0,1.014,0,0,0,0,0.924,0,1.89,0,0
4-CS,8.816,1.411,1.665,5.148,2.112,7.199,1.908,2.1,1.876,6.84,1.89,1.47,5.04
5-EP,1.064,0,0,1.014,2.112,0,0,0,0,1.35,4.41,0,1.12
6-FA,2.204,0,0,1.014,4.128,0,3.78,0,0,0,4.41,1.47,2.8
7-FT,7.676,1.411,0,2.067,12.48,0,5.688,2.1,2.8,6.84,10.08,1.47,7.84
8-HE,7.676,0,0,4.095,8.352,1.449,0,1.05,3.724,4.095,3.15,4.2,6.72
9-IS,1.064,2.839,1.665,7.176,8.352,1.449,7.596,2.1,0,0,1.89,1.47,1.12